"","date","vax1","agec","hh_infected","countsUninf","countsInf"
"107",2020-06-18,FALSE,2,TRUE,70,0
"108",2020-06-18,FALSE,3,TRUE,37,0
"109",2020-06-19,FALSE,1,FALSE,40,0
"110",2020-06-19,FALSE,2,FALSE,99,0
"111",2020-06-19,FALSE,3,FALSE,61,0
"112",2020-06-19,FALSE,1,TRUE,37,0
"113",2020-06-19,FALSE,2,TRUE,70,0
"114",2020-06-19,FALSE,3,TRUE,37,0
"115",2020-06-20,FALSE,1,FALSE,40,0
"116",2020-06-20,FALSE,2,FALSE,99,0
"117",2020-06-20,FALSE,3,FALSE,61,0
"118",2020-06-20,FALSE,1,TRUE,37,0
"119",2020-06-20,FALSE,2,TRUE,70,0
"120",2020-06-20,FALSE,3,TRUE,37,0
"121",2020-06-21,FALSE,1,FALSE,40,0
"122",2020-06-21,FALSE,2,FALSE,99,0
"123",2020-06-21,FALSE,3,FALSE,61,0
"124",2020-06-21,FALSE,1,TRUE,37,0
"125",2020-06-21,FALSE,2,TRUE,70,0
"126",2020-06-21,FALSE,3,TRUE,37,0
"127",2020-06-22,FALSE,1,FALSE,40,0
"128",2020-06-22,FALSE,2,FALSE,99,0
"129",2020-06-22,FALSE,3,FALSE,61,0
"130",2020-06-22,FALSE,1,TRUE,37,0
"131",2020-06-22,FALSE,2,TRUE,70,0
"132",2020-06-22,FALSE,3,TRUE,37,0
"133",2020-06-23,FALSE,1,FALSE,40,0
"134",2020-06-23,FALSE,2,FALSE,99,0
"135",2020-06-23,FALSE,3,FALSE,61,0
"136",2020-06-23,FALSE,1,TRUE,37,0
"137",2020-06-23,FALSE,2,TRUE,70,0
"138",2020-06-23,FALSE,3,TRUE,37,0
"139",2020-06-24,FALSE,1,FALSE,40,0
"140",2020-06-24,FALSE,2,FALSE,99,0
"141",2020-06-24,FALSE,3,FALSE,61,0
"142",2020-06-24,FALSE,1,TRUE,37,0
"143",2020-06-24,FALSE,2,TRUE,70,0
"144",2020-06-24,FALSE,3,TRUE,37,0
"145",2020-06-25,FALSE,1,FALSE,40,0
"146",2020-06-25,FALSE,2,FALSE,99,0
"147",2020-06-25,FALSE,3,FALSE,61,0
"148",2020-06-25,FALSE,1,TRUE,37,0
"149",2020-06-25,FALSE,2,TRUE,70,0
"150",2020-06-25,FALSE,3,TRUE,37,0
"151",2020-06-26,FALSE,1,FALSE,40,0
"152",2020-06-26,FALSE,2,FALSE,99,0
"153",2020-06-26,FALSE,3,FALSE,61,0
"154",2020-06-26,FALSE,1,TRUE,37,0
"155",2020-06-26,FALSE,2,TRUE,70,0
"156",2020-06-26,FALSE,3,TRUE,37,0
"157",2020-06-27,FALSE,1,FALSE,40,0
"158",2020-06-27,FALSE,2,FALSE,99,0
"159",2020-06-27,FALSE,3,FALSE,61,0
"160",2020-06-27,FALSE,1,TRUE,37,0
"161",2020-06-27,FALSE,2,TRUE,70,0
"162",2020-06-27,FALSE,3,TRUE,37,0
"163",2020-06-28,FALSE,1,FALSE,40,0
"164",2020-06-28,FALSE,2,FALSE,99,0
"165",2020-06-28,FALSE,3,FALSE,61,0
"166",2020-06-28,FALSE,1,TRUE,37,0
"167",2020-06-28,FALSE,2,TRUE,70,0
"168",2020-06-28,FALSE,3,TRUE,37,0
"169",2020-06-29,FALSE,1,FALSE,40,0
"170",2020-06-29,FALSE,2,FALSE,99,0
